dataset,fold,repeat,seed_label,seed_count,pool_count,total_count,method,selected_count,recall,impact
aimnet2,1,0,100,100,798,280,trees_raw,180,0.9375,0.3187694569041552
aimnet2,1,0,100,100,798,280,trees_physics,180,0.9125,0.29798545643199953
aimnet2,1,0,100,100,798,280,ridge,180,0.9,0.3535127728826591
aimnet2,1,0,100,100,798,280,mp_ridge,180,0.9125,0.33793036686658734
aimnet2,1,0,100,100,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,0,100,100,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,0,100,100,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,0,100,100,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,0,full,202,798,280,trees_log,78,0.6625,0.17634895775508894
aimnet2,1,0,full,202,798,280,trees_raw,78,0.7,0.17714461995231973
aimnet2,1,0,full,202,798,280,trees_physics,78,0.7,0.17651088822763267
aimnet2,1,0,full,202,798,280,ridge,78,0.7125,0.17866935109368515
aimnet2,1,0,full,202,798,280,mp_ridge,78,0.725,0.18555749178244002
aimnet2,1,0,full,202,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,0,full,202,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,0,full,202,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,0,full,202,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,1,10,10,798,280,trees_log,270,0.3,0.47491624794400955
aimnet2,1,1,10,10,798,280,trees_raw,270,0.3125,0.47215766245811247
aimnet2,1,1,10,10,798,280,trees_physics,270,0.7875,0.37531885370827467
aimnet2,1,1,10,10,798,280,ridge,270,0.95,0.4849339898288361
aimnet2,1,1,10,10,798,280,mp_ridge,270,0.9,0.5007281323153566
aimnet2,1,1,10,10,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,1,10,10,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,1,10,10,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,1,10,10,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,1,20,20,798,280,trees_log,260,0.9625,0.42132032368941674
aimnet2,1,1,20,20,798,280,trees_raw,260,0.9625,0.41828154449744326
aimnet2,1,1,20,20,798,280,trees_physics,260,0.95,0.393890686476994
aimnet2,1,1,20,20,798,280,ridge,260,0.8875,0.46189180851720224
aimnet2,1,1,20,20,798,280,mp_ridge,260,0.925,0.465676460116006
aimnet2,1,1,20,20,798,280,net_force,280,0.8875,0.41386649060767855
aimnet2,1,1,20,20,798,280,rigid_force,280,0.95,0.4182358511373478
aimnet2,1,1,20,20,798,280,force_magnitude,280,0.3625,0.3245968044139289
aimnet2,1,1,20,20,798,280,random,280,0.3508771929824561,0.3508771929824561
aimnet2,1,1,50,50,798,280,trees_log,230,0.95,0.3672987805302058
aimnet2,1,1,50,50,798,280,trees_raw,230,0.925,0.35539021096212287
aimnet2,1,1,50,50,798,280,trees_physics,230,0.95,0.36246878522227055
